,Department_UPC,ID_author,Number_articles
16643,Departament d'Enginyeria Civil i Ambiental,177782,36
16658,Departament d'Enginyeria Civil i Ambiental,177850,11
16707,Departament d'Enginyeria Civil i Ambiental,178029,27
16710,Departament d'Enginyeria Civil i Ambiental,178033,18
16812,Departament d'Enginyeria Civil i Ambiental,178370,3
16814,Departament d'Enginyeria Civil i Ambiental,178372,9
16816,Departament d'Enginyeria Civil i Ambiental,178383,19
16828,Departament d'Enginyeria Civil i Ambiental,178411,70
16830,Departament d'Enginyeria Civil i Ambiental,178425,62
16858,Departament d'Enginyeria Civil i Ambiental,178506,28
16861,Departament d'Enginyeria Civil i Ambiental,178510,81
16872,Departament d'Enginyeria Civil i Ambiental,178545,4
16888,Departament d'Enginyeria Civil i Ambiental,178572,10
16896,Departament d'Enginyeria Civil i Ambiental,178591,44
16897,Departament d'Enginyeria Civil i Ambiental,178592,17
16899,Departament d'Enginyeria Civil i Ambiental,178595,77
16901,Departament d'Enginyeria Civil i Ambiental,178597,28
16906,Departament d'Enginyeria Civil i Ambiental,178605,54
16912,Departament d'Enginyeria Civil i Ambiental,178615,3
16915,Departament d'Enginyeria Civil i Ambiental,178622,16
16919,Departament d'Enginyeria Civil i Ambiental,178640,90
16921,Departament d'Enginyeria Civil i Ambiental,178647,174
16924,Departament d'Enginyeria Civil i Ambiental,178661,76
16930,Departament d'Enginyeria Civil i Ambiental,178682,161
16934,Departament d'Enginyeria Civil i Ambiental,178689,60
16935,Departament d'Enginyeria Civil i Ambiental,178690,92
16944,Departament d'Enginyeria Civil i Ambiental,178702,5
16951,Departament d'Enginyeria Civil i Ambiental,178715,52
16975,Departament d'Enginyeria Civil i Ambiental,178883,42
16991,Departament d'Enginyeria Civil i Ambiental,178950,27
16995,Departament d'Enginyeria Civil i Ambiental,178966,42
16997,Departament d'Enginyeria Civil i Ambiental,178971,1
17000,Departament d'Enginyeria Civil i Ambiental,178976,21
17023,Departament d'Enginyeria Civil i Ambiental,179045,20
17025,Departament d'Enginyeria Civil i Ambiental,179048,47
17026,Departament d'Enginyeria Civil i Ambiental,179049,86
17046,Departament d'Enginyeria Civil i Ambiental,179087,56
17052,Departament d'Enginyeria Civil i Ambiental,179106,19
17053,Departament d'Enginyeria Civil i Ambiental,179107,70
17102,Departament d'Enginyeria Civil i Ambiental,179325,426
17115,Departament d'Enginyeria Civil i Ambiental,179356,2
17116,Departament d'Enginyeria Civil i Ambiental,179358,16
17150,Departament d'Enginyeria Civil i Ambiental,179519,45
17153,Departament d'Enginyeria Civil i Ambiental,179523,9
17170,Departament d'Enginyeria Civil i Ambiental,179575,98
17224,Departament d'Enginyeria Civil i Ambiental,179713,58
17245,Departament d'Enginyeria Civil i Ambiental,179791,12
17268,Departament d'Enginyeria Civil i Ambiental,179843,34
17276,Departament d'Enginyeria Civil i Ambiental,179867,121
17292,Departament d'Enginyeria Civil i Ambiental,179903,34
17296,Departament d'Enginyeria Civil i Ambiental,179920,28
17326,Departament d'Enginyeria Civil i Ambiental,179995,74
17334,Departament d'Enginyeria Civil i Ambiental,180013,5
17338,Departament d'Enginyeria Civil i Ambiental,180033,6
17354,Departament d'Enginyeria Civil i Ambiental,180070,57
17396,Departament d'Enginyeria Civil i Ambiental,180182,21
17401,Departament d'Enginyeria Civil i Ambiental,180198,32
17408,Departament d'Enginyeria Civil i Ambiental,180211,15
17416,Departament d'Enginyeria Civil i Ambiental,180226,5
17417,Departament d'Enginyeria Civil i Ambiental,180234,8
17457,Departament d'Enginyeria Civil i Ambiental,180326,15
17459,Departament d'Enginyeria Civil i Ambiental,180335,21
