Publication_year,Department_UPC,ID_article
2014,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",92
2014,Departament d'Estadistica i Investigacio Operativa,49
2014,Departament d'Expressio Grafica a l'Enginyeria,25
2014,Departament d'Organitzacio d'Empreses,51
2014,Departament d'Urbanisme i Ordenacio del Territori,40
2014,Departament d'Optica i Optometria,36
2014,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,121
2014,Departament de Ciencia i Enginyeria Nautiques,7
2014,Departament de Ciencies de la Computacio,74
2014,Departament de Fisica,215
2014,Departament de Matematiques,234
2014,Departament de Mecanica de Fluids,21
2014,Departament de Maquines i Motors Termics,40
2014,Departament de Projectes Arquitectonics,45
2014,Departament de Representacio Arquitectonica,14
2014,Departament de Resistencia de Materials i Estructures a l'Enginyeria,25
2014,Departament de Tecnologia de l'Arquitectura,51
2014,Departament de Teoria del Senyal i Comunicacions,141
2014,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,59
2014,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2014,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2014,Grup de Recerca Aplicada en Hidrometeorologia,2
2014,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,5
2014,Institut d'Organitzacio i Control de Sistemes Industrials,1
2014,Institut de Ciencies de l'Educacio,2
2014,Institut de Robotica i Informatica Industrial,16
2014,Institut de Tecniques Energetiques,7
2015,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,0
2015,Centre Tecnologic de Vilanova i la Geltru,2
2015,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",5
2015,Catedra UNESCO de Sostenibilitat,0
2015,Departament d'Arquitectura de Computadors,76
2015,Departament d'Enginyeria Agroalimentaria i Biotecnologia,40
2015,Departament d'Enginyeria Civil i Ambiental,327
2015,Departament d'Enginyeria Electronica,142
2015,Departament d'Enginyeria Electrica,60
2015,Departament d'Enginyeria Mecanica,41
2015,"Departament d'Enginyeria Minera, Industrial i TIC",44
2015,Departament d'Enginyeria Quimica,169
2015,Departament d'Enginyeria Telematica,28
2015,Departament d'Enginyeria de Projectes i de la Construccio,36
2015,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,15
2015,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",96
2015,Departament d'Estadistica i Investigacio Operativa,52
2015,Departament d'Expressio Grafica a l'Enginyeria,17
2015,Departament d'Organitzacio d'Empreses,58
2015,Departament d'Urbanisme i Ordenacio del Territori,19
2015,Departament d'Optica i Optometria,24
2015,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,129
2015,Departament de Ciencia i Enginyeria Nautiques,17
2015,Departament de Ciencies de la Computacio,70
2015,Departament de Fisica,183
2015,Departament de Matematiques,231
2015,Departament de Mecanica de Fluids,44
2015,Departament de Maquines i Motors Termics,45
2015,Departament de Projectes Arquitectonics,39
2015,Departament de Representacio Arquitectonica,14
2015,Departament de Resistencia de Materials i Estructures a l'Enginyeria,29
2015,Departament de Tecnologia de l'Arquitectura,48
2015,Departament de Teoria del Senyal i Comunicacions,113
2015,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,45
2015,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2015,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2015,Grup de Recerca Aplicada en Hidrometeorologia,1
2015,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,5
2015,Institut d'Organitzacio i Control de Sistemes Industrials,2
2015,Institut de Ciencies de l'Educacio,1
2015,Institut de Robotica i Informatica Industrial,13
2015,Institut de Tecniques Energetiques,8
2016,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,2
2016,Centre Tecnologic de Vilanova i la Geltru,12
2016,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",5
2016,Catedra UNESCO de Sostenibilitat,0
2016,Departament d'Arquitectura de Computadors,89
2016,Departament d'Enginyeria Agroalimentaria i Biotecnologia,49
2016,Departament d'Enginyeria Civil i Ambiental,287
2016,Departament d'Enginyeria Electronica,149
2016,Departament d'Enginyeria Electrica,68
2016,Departament d'Enginyeria Mecanica,43
2016,"Departament d'Enginyeria Minera, Industrial i TIC",44
2016,Departament d'Enginyeria Quimica,176
2016,Departament d'Enginyeria Telematica,36
2016,Departament d'Enginyeria de Projectes i de la Construccio,46
2016,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,14
2016,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",130
2016,Departament d'Estadistica i Investigacio Operativa,53
2016,Departament d'Expressio Grafica a l'Enginyeria,24
2016,Departament d'Organitzacio d'Empreses,72
2016,Departament d'Urbanisme i Ordenacio del Territori,27
2016,Departament d'Optica i Optometria,28
2016,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,121
2016,Departament de Ciencia i Enginyeria Nautiques,5
2016,Departament de Ciencies de la Computacio,74
2016,Departament de Fisica,200
2016,Departament de Matematiques,214
2016,Departament de Mecanica de Fluids,32
2016,Departament de Maquines i Motors Termics,33
2016,Departament de Projectes Arquitectonics,29
2016,Departament de Representacio Arquitectonica,28
2016,Departament de Resistencia de Materials i Estructures a l'Enginyeria,29
2016,Departament de Tecnologia de l'Arquitectura,53
2016,Departament de Teoria del Senyal i Comunicacions,130
2016,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,51
2016,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2016,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2016,Grup de Recerca Aplicada en Hidrometeorologia,0
2016,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,4
2016,Institut d'Organitzacio i Control de Sistemes Industrials,1
2016,Institut de Ciencies de l'Educacio,3
2016,Institut de Robotica i Informatica Industrial,14
2016,Institut de Tecniques Energetiques,11
2017,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,3
2017,Centre Tecnologic de Vilanova i la Geltru,22
2017,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",3
2017,Catedra UNESCO de Sostenibilitat,0
2017,Departament d'Arquitectura de Computadors,73
2017,Departament d'Enginyeria Agroalimentaria i Biotecnologia,57
2017,Departament d'Enginyeria Civil i Ambiental,308
2017,Departament d'Enginyeria Electronica,121
2017,Departament d'Enginyeria Electrica,67
2017,Departament d'Enginyeria Mecanica,41
2017,"Departament d'Enginyeria Minera, Industrial i TIC",32
2017,Departament d'Enginyeria Quimica,176
2017,Departament d'Enginyeria Telematica,24
2017,Departament d'Enginyeria de Projectes i de la Construccio,31
2017,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,21
2017,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",151
2017,Departament d'Estadistica i Investigacio Operativa,56
2017,Departament d'Expressio Grafica a l'Enginyeria,20
2017,Departament d'Organitzacio d'Empreses,63
2017,Departament d'Urbanisme i Ordenacio del Territori,35
2017,Departament d'Optica i Optometria,25
2017,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,112
2017,Departament de Ciencia i Enginyeria Nautiques,19
2017,Departament de Ciencies de la Computacio,82
2017,Departament de Fisica,207
2017,Departament de Matematiques,200
2017,Departament de Mecanica de Fluids,39
2017,Departament de Maquines i Motors Termics,38
2017,Departament de Projectes Arquitectonics,33
2017,Departament de Representacio Arquitectonica,18
2017,Departament de Resistencia de Materials i Estructures a l'Enginyeria,14
2017,Departament de Tecnologia de l'Arquitectura,75
2017,Departament de Teoria del Senyal i Comunicacions,97
2017,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,43
2017,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2017,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2017,Grup de Recerca Aplicada en Hidrometeorologia,0
2017,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,0
2017,Institut d'Organitzacio i Control de Sistemes Industrials,4
2017,Institut de Ciencies de l'Educacio,3
2017,Institut de Robotica i Informatica Industrial,24
2017,Institut de Tecniques Energetiques,8
2018,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,1
2018,Centre Tecnologic de Vilanova i la Geltru,10
2018,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",5
2018,Catedra UNESCO de Sostenibilitat,2
2018,Departament d'Arquitectura de Computadors,82
2018,Departament d'Enginyeria Agroalimentaria i Biotecnologia,59
2018,Departament d'Enginyeria Civil i Ambiental,304
2018,Departament d'Enginyeria Electronica,132
2018,Departament d'Enginyeria Electrica,68
2018,Departament d'Enginyeria Mecanica,47
2018,"Departament d'Enginyeria Minera, Industrial i TIC",39
2018,Departament d'Enginyeria Quimica,170
2018,Departament d'Enginyeria Telematica,29
2018,Departament d'Enginyeria de Projectes i de la Construccio,38
2018,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,19
2018,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",154
2018,Departament d'Estadistica i Investigacio Operativa,62
2018,Departament d'Expressio Grafica a l'Enginyeria,33
2018,Departament d'Organitzacio d'Empreses,72
2018,Departament d'Urbanisme i Ordenacio del Territori,28
2018,Departament d'Optica i Optometria,29
2018,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,120
2018,Departament de Ciencia i Enginyeria Nautiques,18
2018,Departament de Ciencies de la Computacio,77
2018,Departament de Fisica,206
2018,Departament de Matematiques,229
2018,Departament de Mecanica de Fluids,52
2018,Departament de Maquines i Motors Termics,36
2018,Departament de Projectes Arquitectonics,35
2018,Departament de Representacio Arquitectonica,8
2018,Departament de Resistencia de Materials i Estructures a l'Enginyeria,21
2018,Departament de Tecnologia de l'Arquitectura,62
2018,Departament de Teoria del Senyal i Comunicacions,111
2018,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,41
2018,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2018,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2018,Grup de Recerca Aplicada en Hidrometeorologia,0
2018,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,4
2018,Institut d'Organitzacio i Control de Sistemes Industrials,2
2018,Institut de Ciencies de l'Educacio,4
2018,Institut de Robotica i Informatica Industrial,25
2018,Institut de Tecniques Energetiques,5
2019,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,2
2019,Centre Tecnologic de Vilanova i la Geltru,9
2019,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",9
2019,Catedra UNESCO de Sostenibilitat,0
2019,Departament d'Arquitectura de Computadors,82
2019,Departament d'Enginyeria Agroalimentaria i Biotecnologia,62
2019,Departament d'Enginyeria Civil i Ambiental,313
2019,Departament d'Enginyeria Electronica,96
2019,Departament d'Enginyeria Electrica,68
2019,Departament d'Enginyeria Mecanica,60
2019,"Departament d'Enginyeria Minera, Industrial i TIC",41
2019,Departament d'Enginyeria Quimica,204
2019,Departament d'Enginyeria Telematica,32
2019,Departament d'Enginyeria de Projectes i de la Construccio,36
2019,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,20
2019,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",113
2019,Departament d'Estadistica i Investigacio Operativa,63
2019,Departament d'Expressio Grafica a l'Enginyeria,31
2019,Departament d'Organitzacio d'Empreses,70
2019,Departament d'Urbanisme i Ordenacio del Territori,39
2019,Departament d'Optica i Optometria,36
2019,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,131
2019,Departament de Ciencia i Enginyeria Nautiques,13
2019,Departament de Ciencies de la Computacio,60
2019,Departament de Fisica,182
2019,Departament de Matematiques,201
2019,Departament de Mecanica de Fluids,55
2019,Departament de Maquines i Motors Termics,52
2019,Departament de Projectes Arquitectonics,30
2019,Departament de Representacio Arquitectonica,17
2019,Departament de Resistencia de Materials i Estructures a l'Enginyeria,30
2019,Departament de Tecnologia de l'Arquitectura,84
2019,Departament de Teoria del Senyal i Comunicacions,114
2019,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,50
2019,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2019,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2019,Grup de Recerca Aplicada en Hidrometeorologia,3
2019,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,4
2019,Institut d'Organitzacio i Control de Sistemes Industrials,4
2019,Institut de Ciencies de l'Educacio,3
2019,Institut de Robotica i Informatica Industrial,22
2019,Institut de Tecniques Energetiques,8
2020,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,6
2020,Centre Tecnologic de Vilanova i la Geltru,11
2020,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",3
2020,Catedra UNESCO de Sostenibilitat,0
2020,Departament d'Arquitectura de Computadors,86
2020,Departament d'Enginyeria Agroalimentaria i Biotecnologia,66
2020,Departament d'Enginyeria Civil i Ambiental,362
2020,Departament d'Enginyeria Electronica,122
2020,Departament d'Enginyeria Electrica,91
2020,Departament d'Enginyeria Mecanica,61
2020,"Departament d'Enginyeria Minera, Industrial i TIC",55
2020,Departament d'Enginyeria Quimica,175
2020,Departament d'Enginyeria Telematica,40
2020,Departament d'Enginyeria de Projectes i de la Construccio,51
2020,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,15
2020,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",123
2020,Departament d'Estadistica i Investigacio Operativa,49
2020,Departament d'Expressio Grafica a l'Enginyeria,40
2020,Departament d'Organitzacio d'Empreses,71
2020,Departament d'Urbanisme i Ordenacio del Territori,36
2020,Departament d'Optica i Optometria,18
2020,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,144
2020,Departament de Ciencia i Enginyeria Nautiques,11
2020,Departament de Ciencies de la Computacio,65
2020,Departament de Fisica,237
2020,Departament de Matematiques,226
2020,Departament de Mecanica de Fluids,54
2020,Departament de Maquines i Motors Termics,34
2020,Departament de Projectes Arquitectonics,18
2020,Departament de Representacio Arquitectonica,13
2020,Departament de Resistencia de Materials i Estructures a l'Enginyeria,37
2020,Departament de Tecnologia de l'Arquitectura,64
2020,Departament de Teoria del Senyal i Comunicacions,120
2020,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,47
2020,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2020,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,1
2020,Grup de Recerca Aplicada en Hidrometeorologia,1
2020,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,2
2020,Institut d'Organitzacio i Control de Sistemes Industrials,1
2020,Institut de Ciencies de l'Educacio,8
2020,Institut de Robotica i Informatica Industrial,18
2020,Institut de Tecniques Energetiques,9
2021,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,3
2021,Centre Tecnologic de Vilanova i la Geltru,13
2021,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",4
2021,Catedra UNESCO de Sostenibilitat,1
2021,Departament d'Arquitectura de Computadors,83
2021,Departament d'Enginyeria Agroalimentaria i Biotecnologia,79
2021,Departament d'Enginyeria Civil i Ambiental,344
2021,Departament d'Enginyeria Electronica,130
2021,Departament d'Enginyeria Electrica,86
2021,Departament d'Enginyeria Mecanica,76
2021,"Departament d'Enginyeria Minera, Industrial i TIC",51
2021,Departament d'Enginyeria Quimica,206
2021,Departament d'Enginyeria Telematica,49
2021,Departament d'Enginyeria de Projectes i de la Construccio,49
2021,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,33
2021,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",129
2021,Departament d'Estadistica i Investigacio Operativa,74
2021,Departament d'Expressio Grafica a l'Enginyeria,26
2021,Departament d'Organitzacio d'Empreses,72
2021,Departament d'Urbanisme i Ordenacio del Territori,41
2021,Departament d'Optica i Optometria,22
2021,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,151
