Publication_year,Department_UPC,ID_article
2017,Departament de Ciències de la Computació,82
2017,Departament de Física,207
2017,Departament de Matemàtiques,200
2017,Departament de Mecànica de Fluids,39
2017,Departament de Màquines i Motors Tèrmics,38
2017,Departament de Projectes Arquitectònics,33
2017,Departament de Representació Arquitectònica,18
2017,Departament de Resistència de Materials i Estructures a l'Enginyeria,14
2017,Departament de Tecnologia de l'Arquitectura,75
2017,Departament de Teoria del Senyal i Comunicacions,97
2017,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,43
2017,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2017,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2017,Grup de Recerca Aplicada en Hidrometeorologia,0
2017,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,0
2017,Institut d'Organització i Control de Sistemes Industrials,4
2017,Institut de Ciències de l'Educació,3
2017,Institut de Robòtica i Informàtica Industrial,24
2017,Institut de Tècniques Energètiques,8
2018,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,1
2018,Centre Tecnològic de Vilanova i la Geltrú,10
2018,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",5
2018,Càtedra UNESCO de Sostenibilitat,2
2018,Departament d'Arquitectura de Computadors,82
2018,Departament d'Enginyeria Agroalimentària i Biotecnologia,59
2018,Departament d'Enginyeria Civil i Ambiental,304
2018,Departament d'Enginyeria Electrònica,132
2018,Departament d'Enginyeria Elèctrica,68
2018,Departament d'Enginyeria Mecànica,47
2018,"Departament d'Enginyeria Minera, Industrial i TIC",39
2018,Departament d'Enginyeria Química,170
2018,Departament d'Enginyeria Telemàtica,29
2018,Departament d'Enginyeria de Projectes i de la Construcció,38
2018,Departament d'Enginyeria de Serveis i Sistemes d'Informació,19
2018,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",154
2018,Departament d'Estadística i Investigació Operativa,62
2018,Departament d'Expressió Gràfica a l'Enginyeria,33
2018,Departament d'Organització d'Empreses,72
2018,Departament d'Urbanisme i Ordenació del Territori,28
2018,Departament d'Òptica i Optometria,29
2018,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,120
2018,Departament de Ciència i Enginyeria Nàutiques,18
2018,Departament de Ciències de la Computació,77
2018,Departament de Física,206
2018,Departament de Matemàtiques,229
2018,Departament de Mecànica de Fluids,52
2018,Departament de Màquines i Motors Tèrmics,36
2018,Departament de Projectes Arquitectònics,35
2018,Departament de Representació Arquitectònica,8
2018,Departament de Resistència de Materials i Estructures a l'Enginyeria,21
2018,Departament de Tecnologia de l'Arquitectura,62
2018,Departament de Teoria del Senyal i Comunicacions,111
2018,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,41
2018,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2018,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2018,Grup de Recerca Aplicada en Hidrometeorologia,0
2018,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,4
2018,Institut d'Organització i Control de Sistemes Industrials,2
2018,Institut de Ciències de l'Educació,4
2018,Institut de Robòtica i Informàtica Industrial,25
